Core,Time in Online,Time in Idle,Time in Offline,Start Temperature,Finish Temperature,200000,400000,533333,800000,998400,1094400,1152000,1209600,Launch Number
cpu2,472140,468321,-32,0,0,0,0,0,0,0,0,0,472140,0
cpu2,469040,464581,-23,0,0,0,0,0,0,0,0,0,469040,1
cpu2,469180,465266,-21,0,0,0,0,0,0,0,0,0,469180,2
cpu2,469120,464921,-17,0,0,0,0,0,0,0,0,0,469120,3
cpu2,468340,464928,-19,0,0,0,0,0,0,0,0,0,468340,4
cpu2,468290,465351,-17,0,0,0,0,0,0,0,0,0,468290,5
cpu2,470600,463005,-21,0,0,0,0,0,0,0,0,0,470600,6
cpu2,467620,463882,-23,0,0,0,0,0,0,0,0,0,467620,7
cpu2,468400,466074,-26,0,0,0,0,0,0,0,0,0,468400,8
cpu2,469030,466381,-18,0,0,0,0,0,0,0,0,0,469030,9
