Core,Time in Online,Time in Idle,Time in Offline,Start Temperature,Finish Temperature,652800,1036800,1401600,1689600,1804800,1958400,2016000,Launch Number
cpu1,156500,155240,-63,0,0,1030,2400,1800,600,600,1000,149070,0
cpu1,156690,155734,-44,0,0,790,2400,2000,600,600,600,149700,1
cpu1,156510,154225,-47,0,0,840,1800,1200,400,400,600,151270,2
cpu1,161940,161213,21,0,0,2900,6930,4900,1200,1400,1200,143410,3
cpu1,157320,157729,-42,0,0,1160,2400,1800,600,800,600,149960,4
cpu1,155990,155304,-43,0,0,740,1600,1200,400,400,400,151250,5
cpu1,157120,156027,-35,0,0,1260,2400,1800,610,590,600,149860,6
cpu1,161830,161010,53,0,0,3560,6300,3940,1600,1400,1400,143630,7
cpu1,156900,155302,-33,0,0,540,2400,1800,610,590,600,150360,8
cpu1,156630,154949,-32,0,0,970,1600,1200,400,400,400,151660,9
