Core,Time in Online,Time in Idle,Time in Offline,Start Temperature,Finish Temperature,652800,1036800,1401600,1689600,1804800,1958400,2016000,Launch Number
cpu2,156340,155122,-75,0,0,10,0,0,0,0,0,156330,0
cpu2,156280,154603,-47,0,0,0,0,0,0,0,0,156280,1
cpu2,155970,156128,111,0,0,160,0,0,0,0,0,155810,2
cpu2,154980,154019,-42,0,0,10,0,0,0,0,0,154970,3
cpu2,155230,153522,-38,0,0,0,0,0,0,0,0,155230,4
cpu2,154700,156633,-40,0,0,0,0,0,0,0,0,154700,5
cpu2,154940,154493,-36,0,0,0,0,0,0,0,0,154940,6
cpu2,155080,153689,-29,0,0,10,0,0,0,0,0,155070,7
cpu2,154450,155281,-35,0,0,10,0,0,0,0,0,154440,8
cpu2,155030,152503,-38,0,0,0,0,0,0,0,0,155030,9
