Core,Time in Online,Time in Idle,Time in Offline,Start Temperature,Finish Temperature,652800,1036800,1401600,1689600,1804800,1958400,2016000,Launch Number
cpu1,481360,471590,-114,0,0,481250,0,110,0,0,0,0,0
cpu1,481420,489928,-142,0,0,481420,0,0,0,0,0,0,1
cpu1,485630,481267,-37,0,0,485630,0,0,0,0,0,0,2
cpu1,484350,486301,-149,0,0,484350,0,0,0,0,0,0,3
cpu1,484110,483318,-130,0,0,484110,0,0,0,0,0,0,4
cpu1,483740,484582,-129,0,0,483740,0,0,0,0,0,0,5
cpu1,484020,482155,-124,0,0,484020,0,0,0,0,0,0,6
cpu1,481280,482564,-114,0,0,481280,0,0,0,0,0,0,7
cpu1,483050,481562,-115,0,0,483050,0,0,0,0,0,0,8
cpu1,484100,484585,-111,0,0,484100,0,0,0,0,0,0,9
